row,speed,colors,humanPaddleSize,aiPaddleSize,humanScore,aiScore,guess,tutorial,practice,rt,trial_index,time_elapsed,trial_type,button_pressed,response,responses,worker_id
1480,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3109,104,625281,html-button-response,0,NULL,NULL,NULL
1481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,548,105,625831,html-button-response,0,NULL,NULL,NULL
1482,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1411,106,627244,html-slider-response,NULL,50,NULL,NULL
1483,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107,627247,call-function,NULL,NULL,NULL,NULL
1484,17,Array,1.2,1,6,0,3,NULL,NULL,NULL,108,651088,pong,NULL,NULL,NULL,NULL
1485,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3124,109,654214,html-button-response,1,NULL,NULL,NULL
1486,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,605,110,654827,html-button-response,1,NULL,NULL,NULL
1487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3172,111,658004,html-slider-response,NULL,59,NULL,NULL
1488,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112,658016,call-function,NULL,NULL,NULL,NULL
1489,13,Array,1.2,1,0,0,3,NULL,NULL,NULL,113,676790,pong,NULL,NULL,NULL,NULL
1490,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2833,114,679626,html-button-response,2,NULL,NULL,NULL
1491,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1046,115,680673,html-button-response,0,NULL,NULL,NULL
1492,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2216,116,682891,html-slider-response,NULL,50,NULL,NULL
1493,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6735,0,6740,html-keyboard-response,NULL,NULL,NULL,NULL
1494,13,Array,1.2,1,3,0,3,1,1,NULL,1,81955,pong,NULL,NULL,NULL,NULL
1495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2536,2,84492,html-keyboard-response,NULL,NULL,NULL,NULL
1496,15,Array,1.9,1,0,0,2,NULL,1,NULL,3,105489,pong,NULL,NULL,NULL,NULL
1497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,105492,call-function,NULL,NULL,NULL,NULL
1498,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1673,5,107167,html-keyboard-response,NULL,NULL,NULL,NULL
1499,13,Array,0.5,1,0,0,1,NULL,1,NULL,6,124774,pong,NULL,NULL,NULL,NULL
1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1076,7,125857,html-keyboard-response,NULL,NULL,NULL,NULL
1501,15,Array,1.9,1,2,1,1,NULL,NULL,NULL,8,144741,pong,NULL,NULL,NULL,NULL
1502,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2167,9,146912,html-button-response,0,NULL,NULL,NULL
1503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1305,10,148219,html-button-response,2,NULL,NULL,NULL
